gvkey,year,exec_fullname,gender,age,joined_co,leftco,ceoann,becameceo,leftofc,salary,total_curr
170527,2015,"James L. Holbrook, Jr.",MALE,56.0,,,,,,266.66700000000003,266.66700000000003
170527,2015,William P. Stiritz,MALE,81.0,,,,2012/02/01,2014/11/01,0.001,0.001
170527,2015,Terence E. Block,MALE,67.0,,,,,,45.833,45.833
170527,2015,Jeff A. Zadoks,MALE,50.0,,,,,,367.5,367.5
170527,2015,Robert V. Vitale,MALE,49.0,,,CEO,2014/11/01,,775.0,775.0
170527,2015,Richard R. Koulouris,MALE,59.0,,,,,,322.115,372.115
170527,2015,Diedre J. Gray,FEMALE,37.0,,,,,,347.083,347.083
170527,2015,"James E. Dwyer, Jr.",MALE,56.0,,,,,,640.385,640.385
170527,2016,William P. Stiritz,MALE,82.0,,,,2012/02/01,2014/11/01,0.0,0.0
170527,2016,Jeff A. Zadoks,MALE,51.0,,,,,,462.5,462.5
170527,2016,Robert V. Vitale,MALE,50.0,,,CEO,2014/11/01,,975.0,975.0
170527,2016,Richard R. Koulouris,MALE,60.0,,,,,,521.875,521.875
170527,2016,Diedre J. Gray,FEMALE,38.0,,,,,,415.625,415.625
170527,2016,"James E. Dwyer, Jr.",MALE,57.0,,,,,,657.692,657.692
170527,2016,Christopher J. Neugent,MALE,55.0,,,,,,619.988,619.988
170527,2017,Jeff A. Zadoks,MALE,52.0,,,,,,510.0,510.0
170527,2017,Robert V. Vitale,MALE,51.0,,,CEO,2014/11/01,,1000.0,1000.0
170527,2017,Diedre J. Gray,FEMALE,39.0,,,,,,455.625,455.625
170527,2017,"James E. Dwyer, Jr.",MALE,58.0,,,,,,673.2689999999999,673.2689999999999
170527,2017,Christopher J. Neugent,MALE,56.0,,,,,,668.75,668.75
24905,2015,"Robert Komin, Jr.",MALE,52.0,,,,,,244.11,244.11
24905,2015,Paul Thaddeus Winnowski,MALE,43.0,,,,,,310.0,310.0
24905,2015,Lynn Michelle Jurich,FEMALE,35.0,,,,2012/10/01,2014/03/01,395.75300000000004,495.75300000000004
24905,2015,Thomas J. Holland,MALE,52.0,,,,,,311.644,311.644
24905,2016,"Robert Komin, Jr.",MALE,53.0,,,,,,336.538,336.538
24905,2016,Paul Thaddeus Winnowski,MALE,44.0,,,,,,339.231,339.231
24905,2016,Lynn Michelle Jurich,FEMALE,36.0,,,,2012/10/01,2014/03/01,473.077,473.077
24905,2016,Edward Harris Fenster,MALE,39.0,,,,2008/06/01,2014/03/01,436.539,436.539
24905,2016,Jeanna Steele,FEMALE,41.0,,,,,,203.46200000000002,203.46200000000002
